1,0.0,candy is life ,2,,
2,1.0,"The couple is strolling on the beach, feeling the warm sun and ocean breeze.",6,,
3,2.0,I just got a promotion at work ,2,,
4,3.0,I rode my electric bicycle to save on fuel costs and reduce my carbon footprint.,8,,
5,4.0,The assignment is too long ,3,,
6,5.0,A dog is helping a farmer herd sheep on a farm,5,,
7,6.0,Two dogs are sitting on a bench together watching their owner play basketball,5,,
8,7.0,enjoy your break	,2,,
9,8.0,I always wear a helmet when I ride my bicycle to prioritize safety.,8,,
10,9.0,A dog is eagerly waiting for its owner to throw a ball in the backyard,5,,
11,10.0,I hit a home run in my baseball game ,1,,
12,11.0,the game just finished,1,, [2]
13,12.0,Good joke	,2,,
14,13.0,what are the rules of the game,1,,
15,14.0,A pack of wild dogs are hunting in the forest,5,,
16,15.0,I failed my test ,3,,
17,16.0,I love to the stars and back	,0,,
18,17.0,I attach a basket to my bicycle to carry groceries and other items.,8,,
19,18.0,Four dogs are riding in the back of a pickup truck with their owner,5,,
20,19.0,It was funny lol,2,,
21,20.0,I'm so happy to see you ,2,,
22,21.0,My phone screen cracked ,3,,
23,22.0,I am very disappointed,3,,
24,23.0,I am going to the stadium,1,, [0]
25,24.0,A woman clad in a black wetsuit is skillfully surfing on her board.,7,,
26,25.0,My grandmother is the love of my life	,0,,
27,26.0,Two dogs are sitting next to each other watching a sunset,5,,
28,27.0,I think I will end up alone,3,,
29,28.0,where is the ball	,1,,
30,29.0,he is so cute,0,,
31,30.0,I spilled coffee on my shirt ,3,,
32,31.0,Let's have a picnic in the park ,4,,
33,32.0,my code is working but the grader gave me zero,3,,
34,33.0,Four dogs are wrestling and play fighting with each other,5,,
35,34.0,This stupid grader is not working 	,3,,
36,35.0,Three dogs are competing for the attention of their owner,5,,
37,36.0,I broke my favorite coffee mug	 ,3,,
38,37.0,A dog is laying down on a blanket during a picnic,5,,
39,38.0,"The man in the black wetsuit is a seasoned surfer, riding the waves with ease.",7,,
40,39.0,I did not have breakfast ,3,,
41,40.0,I got humiliated by my sister,3,,
42,41.0,How dare you ask that,3,,
43,42.0,I will have a cheese cake,4,,
44,43.0,Two dogs are sharing a bone taking turns chewing on it,5,5.0,
45,44.0,I'm going to make tacos for dinner ,4,,
46,45.0,I love watching baseball games with my friends ,1,,
47,46.0,A dog is wearing a vest and assisting a visually-impaired person to cross the street,5,,
48,47.0,cookies are good,4,,
49,48.0,"The leaves rustle in the wind, providing a soothing natural soundtrack.",6,,
50,49.0,She's a professional cyclist who has won several races on her high-performance bicycle.,8,,
51,50.0,I want to eat	,4,,
52,51.0,The bicycle handlebar grips provide a comfortable and secure grip.,8,,
53,52.0,you brighten my day	,2,,
54,53.0,I adore my dogs,0,,
55,54.0,I struck out in my last at-bat ,1,,
56,55.0,I am at the baseball game,1,, [0]
